distance: -40, theta: 90, q: 40
distance: -40, theta: 90, q: 40
distance: -40, theta: 90, q: 40
distance: -40, theta: 90, q: 40
distance: -40, theta: 90, q: 40
distance: -40, theta: 90, q: 40
distance: -40, theta: 90, q: 40
distance: -40, theta: 90, q: 40
distance: -40, theta: 90, q: 40
distance: -40, theta: 90, q: 40
distance: -40, theta: 90, q: 40
distance: -40, theta: 90, q: 40
distance: -40, theta: 90, q: 40
distance: -40, theta: 90, q: 40
distance: -40, theta: 90, q: 40
distance: -40, theta: 90, q: 40
distance: -40, theta: 90, q: 40
distance: -40, theta: 90, q: 40
distance: -40, theta: 90, q: 40
distance: -40, theta: 90, q: 40
distance: -40, theta: 90, q: 40
distance: -40, theta: 90, q: 40
distance: -40, theta: 90, q: 40
distance: -40, theta: 90, q: 40
distance: -40, theta: 90, q: 40
distance: -40, theta: 90, q: 40
distance: -40, theta: 90, q: 40
distance: -40, theta: 90, q: 40
distance: -40, theta: 90, q: 40
distance: -40, theta: 90, q: 40
distance: -40, theta: 90, q: 40
distance: -40, theta: 90, q: 40
distance: -40, theta: 90, q: 40
distance: -40, theta: 90, q: 40
distance: -40, theta: 90, q: 40
distance: -40, theta: 90, q: 40
distance: -40, theta: 90, q: 40
distance: -40, theta: 90, q: 40
distance: -100, theta: 10, q: 40
distance: -100, theta: 10, q: 40
